network,subset_name,eval_subset,seed,optimizer,layers,accuracy,precision,recall,f1,precision_w,recall_w,f1_w
EfficientNetV2B0,all,all,6,AdamW,GlobalMaxPooling2D,0.6339522546419099,0.632688828584351,0.63251651516007,0.6325847457627118,0.6337501064727004,0.6339522546419099,0.6338333408263274
EfficientNetV2B0,all,microscope,6,AdamW,GlobalMaxPooling2D,0.6392405063291139,0.6419547872340425,0.6369248035914703,0.6350151975683891,0.6415928831133854,0.6392405063291139,0.6360093878650301
EfficientNetV2B0,all,phone,6,AdamW,GlobalMaxPooling2D,0.6666666666666666,0.6409502262443438,0.6357890148212728,0.6376843739602972,0.6616892911010558,0.6666666666666666,0.6635614210195556
EfficientNetV2B0,all,fresh,6,AdamW,GlobalMaxPooling2D,0.6845238095238095,0.6744897959183673,0.6752305665349143,0.6748347514881496,0.6852405247813411,0.6845238095238095,0.684857914973315
EfficientNetV2B0,all,dried,6,AdamW,GlobalMaxPooling2D,0.5842696629213483,0.5759176863181312,0.5696428571428571,0.5665394234566276,0.5787016785192036,0.5842696629213483,0.5754045431889879
EfficientNetV2B0,all,comparison,6,AdamW,GlobalMaxPooling2D,0.6498054474708171,0.6496487403100775,0.6506523594683575,0.6491627229705133,0.6529395906856091,0.6498054474708171,0.6503897424710933
EfficientNetV2B0,all,all,8,AdamW,GlobalMaxPooling2D,0.6445623342175066,0.6437728937728937,0.6440488961662244,0.6438381274675691,0.6450481437218838,0.6445623342175066,0.6447327358057272
EfficientNetV2B0,all,microscope,8,AdamW,GlobalMaxPooling2D,0.6962025316455697,0.703904005408146,0.6934423601090267,0.6912554958475818,0.7030482861011931,0.6962025316455697,0.6922449030071794
EfficientNetV2B0,all,phone,8,AdamW,GlobalMaxPooling2D,0.6565656565656566,0.6258620689655172,0.6113775065387969,0.6136363636363636,0.6445837687216998,0.6565656565656566,0.6461585552494643
EfficientNetV2B0,all,fresh,8,AdamW,GlobalMaxPooling2D,0.6726190476190477,0.66875,0.6739130434782609,0.6683774180813264,0.6832589285714286,0.6726190476190477,0.6750747278777283
EfficientNetV2B0,all,dried,8,AdamW,GlobalMaxPooling2D,0.6966292134831461,0.6951466127401416,0.6969387755102041,0.6952441344324667,0.6995944149691551,0.6966292134831461,0.6973217530084858
EfficientNetV2B0,all,comparison,8,AdamW,GlobalMaxPooling2D,0.6809338521400778,0.6802071973827699,0.6813498353859285,0.6801153612629023,0.6832591473634632,0.6809338521400778,0.6814375388337243
EfficientNetV2B0,all,all,10,AdamW,GlobalMaxPooling2D,0.6392572944297082,0.6390789473684211,0.6342809553384903,0.6335620354488278,0.6391302526874215,0.6392572944297082,0.6361067256317744
EfficientNetV2B0,all,microscope,10,AdamW,GlobalMaxPooling2D,0.6518987341772152,0.6517628205128205,0.6518358185024852,0.6517731917451413,0.6520346478416099,0.6518987341772152,0.6519405816545731
EfficientNetV2B0,all,phone,10,AdamW,GlobalMaxPooling2D,0.6868686868686869,0.6658333333333333,0.6301220575414124,0.6327629532128755,0.6761447811447812,0.6868686868686869,0.6683588306180146
EfficientNetV2B0,all,fresh,10,AdamW,GlobalMaxPooling2D,0.6904761904761905,0.6794852152596905,0.6714975845410628,0.6737864077669903,0.6866532425747991,0.6904761904761905,0.6869625520110956
EfficientNetV2B0,all,dried,10,AdamW,GlobalMaxPooling2D,0.6179775280898876,0.6198179979777553,0.6209183673469387,0.6175429726996966,0.6253394076413583,0.6179775280898876,0.6188466388702697
EfficientNetV2B0,all,comparison,10,AdamW,GlobalMaxPooling2D,0.6653696498054474,0.6635243841126195,0.6586391903426412,0.6590460323337035,0.6643152122666885,0.6653696498054474,0.66284020281675
EfficientNetV2B0,microscope,all,2,AdamW,GlobalMaxPooling2D,0.5915119363395226,0.5895420369104579,0.5887583987352493,0.5887311572027655,0.5905510097887593,0.5915119363395226,0.5906149108115364
EfficientNetV2B0,microscope,microscope,2,AdamW,GlobalMaxPooling2D,0.6518987341772152,0.652435064935065,0.6505531505531505,0.650203276576903,0.6523158803222094,0.6518987341772152,0.6508198066133801
EfficientNetV2B0,microscope,phone,2,AdamW,GlobalMaxPooling2D,0.6060606060606061,0.6127250409165302,0.6200959023539669,0.6019997938356871,0.6460472151961514,0.6060606060606061,0.6121518243979847
EfficientNetV2B0,microscope,fresh,2,AdamW,GlobalMaxPooling2D,0.6309523809523809,0.6320340184266477,0.6363636363636364,0.6283716283716283,0.64825858054065,0.6309523809523809,0.6339018124732411
EfficientNetV2B0,microscope,dried,2,AdamW,GlobalMaxPooling2D,0.6404494382022472,0.636096256684492,0.6298469387755102,0.6299376299376299,0.6379619059063871,0.6404494382022472,0.6362447148964002
EfficientNetV2B0,microscope,comparison,2,AdamW,GlobalMaxPooling2D,0.6342412451361867,0.639010989010989,0.6388245335934642,0.6342357073643411,0.6433659725488519,0.6342412451361867,0.6341194141555817
EfficientNetV2B0,microscope,all,4,AdamW,GlobalMaxPooling2D,0.5888594164456233,0.5869417332150251,0.5829851504714584,0.5808857808857809,0.5874269301769837,0.5888594164456233,0.5841059029387942
EfficientNetV2B0,microscope,microscope,4,AdamW,GlobalMaxPooling2D,0.7088607594936709,0.7110394842868655,0.7099567099567099,0.7086740420073754,0.7117657258845969,0.7088607594936709,0.7084873245210799
EfficientNetV2B0,microscope,phone,4,AdamW,GlobalMaxPooling2D,0.5252525252525253,0.537037037037037,0.5392327811682651,0.5221320735339426,0.5697717919940142,0.5252525252525253,0.5318834851545131
EfficientNetV2B0,microscope,fresh,4,AdamW,GlobalMaxPooling2D,0.625,0.6192307692307693,0.6225296442687747,0.6190476190476191,0.6336538461538461,0.625,0.6275510204081632
EfficientNetV2B0,microscope,dried,4,AdamW,GlobalMaxPooling2D,0.6629213483146067,0.659438775510204,0.659438775510204,0.659438775510204,0.6629213483146067,0.6629213483146067,0.6629213483146067
EfficientNetV2B0,microscope,comparison,4,AdamW,GlobalMaxPooling2D,0.6381322957198443,0.6376741368867354,0.6385806608950128,0.6373416281010545,0.6408812487184986,0.6381322957198443,0.6387252964339367
EfficientNetV2B0,microscope,all,6,AdamW,GlobalMaxPooling2D,0.5994694960212201,0.5974987017483122,0.5954068093275366,0.5949092358160949,0.5982001708962965,0.5994694960212201,0.5973033724237856
EfficientNetV2B0,microscope,microscope,6,AdamW,GlobalMaxPooling2D,0.7088607594936709,0.7087550200803212,0.7083533750200417,0.7084403080872914,0.708807889786996,0.7088607594936709,0.7087206090248778
EfficientNetV2B0,microscope,phone,6,AdamW,GlobalMaxPooling2D,0.5151515151515151,0.5295454545454545,0.5311682650392328,0.5127153404429861,0.562258953168044,0.5151515151515151,0.5214159644020187
EfficientNetV2B0,microscope,fresh,6,AdamW,GlobalMaxPooling2D,0.6607142857142857,0.6586783891094725,0.6638120333772508,0.6572042240916414,0.6739476136455717,0.6607142857142857,0.6633984504845433
EfficientNetV2B0,microscope,dried,6,AdamW,GlobalMaxPooling2D,0.5842696629213483,0.5762987012987013,0.5719387755102041,0.5703848662752773,0.5794177732379979,0.5842696629213483,0.5781950643886923
EfficientNetV2B0,microscope,comparison,6,AdamW,GlobalMaxPooling2D,0.6342412451361867,0.6380160759956157,0.6381843677600292,0.6342357073643411,0.6421882574718265,0.6342412451361867,0.6343520005731005
EfficientNetV2B0,microscope,all,8,AdamW,GlobalMaxPooling2D,0.596816976127321,0.5952380952380952,0.5949692281632883,0.5950361827227499,0.5963814227785691,0.596816976127321,0.5965320491825895
EfficientNetV2B0,microscope,microscope,8,AdamW,GlobalMaxPooling2D,0.6708860759493671,0.6713615023474178,0.6697130030463363,0.6695624195624196,0.6712426457479052,0.6708860759493671,0.6700918821171986
EfficientNetV2B0,microscope,phone,8,AdamW,GlobalMaxPooling2D,0.5252525252525253,0.5680803571428572,0.5664777680906713,0.5250586914361539,0.6050009018759018,0.5252525252525253,0.5226357687315123
EfficientNetV2B0,microscope,fresh,8,AdamW,GlobalMaxPooling2D,0.6190476190476191,0.6273726273726274,0.6306543697848046,0.6181818181818182,0.6452119309262166,0.6190476190476191,0.6214285714285714
EfficientNetV2B0,microscope,dried,8,AdamW,GlobalMaxPooling2D,0.6067415730337079,0.6014367816091954,0.5900510204081633,0.5858263528786066,0.6029768823453442,0.6067415730337079,0.5952382019484022
EfficientNetV2B0,microscope,comparison,8,AdamW,GlobalMaxPooling2D,0.6147859922178989,0.6257965762838935,0.6227594195829776,0.6139443137849936,0.6309348488480244,0.6147859922178989,0.6124713765274094
EfficientNetV2B0,microscope,all,10,AdamW,GlobalMaxPooling2D,0.5888594164456233,0.5876784605834886,0.5877279656710519,0.5876990594726555,0.588983727589006,0.5888594164456233,0.5889174342942717
EfficientNetV2B0,microscope,microscope,10,AdamW,GlobalMaxPooling2D,0.6708860759493671,0.6709105560032231,0.67003367003367,0.6700401606425703,0.6709023959852712,0.6708860759493671,0.6704631182959687
EfficientNetV2B0,microscope,phone,10,AdamW,GlobalMaxPooling2D,0.5050505050505051,0.5692118226600985,0.5612467306015693,0.5017972681524083,0.6083345773000945,0.5050505050505051,0.4916309028458561
EfficientNetV2B0,microscope,fresh,10,AdamW,GlobalMaxPooling2D,0.5833333333333334,0.5866326096211154,0.5893719806763285,0.5811965811965812,0.6031289910600256,0.5833333333333334,0.5865384615384616
EfficientNetV2B0,microscope,dried,10,AdamW,GlobalMaxPooling2D,0.651685393258427,0.6733193277310925,0.6262755102040816,0.6134230068656299,0.669176659427816,0.651685393258427,0.6257216310633147
EfficientNetV2B0,microscope,comparison,10,AdamW,GlobalMaxPooling2D,0.6070038910505836,0.6205566097406705,0.616205340812096,0.6054747465535848,0.6259265548820256,0.6070038910505836,0.6034677444012736
EfficientNetV2B0,phone,all,2,AdamW,GlobalMaxPooling2D,0.6047745358090185,0.6038307588228662,0.6039890463553723,0.6038715136983887,0.6051520466034795,0.6047745358090185,0.6049250394941236
EfficientNetV2B0,phone,microscope,2,AdamW,GlobalMaxPooling2D,0.6645569620253164,0.6669960474308301,0.6625781625781626,0.6615061239338695,0.6666208035222895,0.6645569620253164,0.6623196807582554
EfficientNetV2B0,phone,phone,2,AdamW,GlobalMaxPooling2D,0.6363636363636364,0.6181665264928511,0.6224934612031385,0.6192307692307693,0.6449269821851823,0.6363636363636364,0.6396270396270397
EfficientNetV2B0,phone,fresh,2,AdamW,GlobalMaxPooling2D,0.6726190476190477,0.6772727272727272,0.6826965305226175,0.6712094794150091,0.694724025974026,0.6726190476190477,0.6750537563351142
EfficientNetV2B0,phone,dried,2,AdamW,GlobalMaxPooling2D,0.6179775280898876,0.6174242424242424,0.6186224489795918,0.6167679837892603,0.6224038134150494,0.6179775280898876,0.6189451635303895
EfficientNetV2B0,phone,comparison,2,AdamW,GlobalMaxPooling2D,0.6536964980544747,0.655317729808392,0.6561699792708207,0.653507642434066,0.6591006039008656,0.6536964980544747,0.6541686371054964
EfficientNetV2B0,phone,all,4,AdamW,GlobalMaxPooling2D,0.6312997347480106,0.6309412178397702,0.62615041499633,0.6252243876273914,0.6310416025740775,0.6312997347480106,0.6278823519926623
EfficientNetV2B0,phone,microscope,4,AdamW,GlobalMaxPooling2D,0.6518987341772152,0.6520833333333333,0.6521564854898187,0.6518847894884429,0.6524525316455697,0.6518987341772152,0.6519405682435321
EfficientNetV2B0,phone,phone,4,AdamW,GlobalMaxPooling2D,0.7070707070707071,0.6857466063348416,0.6789450741063644,0.6816014195408673,0.7029434617669912,0.7070707070707071,0.7043418548353672
EfficientNetV2B0,phone,fresh,4,AdamW,GlobalMaxPooling2D,0.7202380952380952,0.7126221966647499,0.7165129556433905,0.7139026776332476,0.724046044524768,0.7202380952380952,0.7215051787590648
EfficientNetV2B0,phone,dried,4,AdamW,GlobalMaxPooling2D,0.5842696629213483,0.5936532507739938,0.5926020408163266,0.5840596185423772,0.6001495808258254,0.5842696629213483,0.583114418837007
EfficientNetV2B0,phone,comparison,4,AdamW,GlobalMaxPooling2D,0.6731517509727627,0.6707204433497538,0.6690342641141325,0.669503980404164,0.6722676391098503,0.6731517509727627,0.6723411352908518
EfficientNetV2B0,phone,all,6,AdamW,GlobalMaxPooling2D,0.6180371352785146,0.6251227013938878,0.6079555078764609,0.5995515165820843,0.6240674043128748,0.6180371352785146,0.6043440843922699
EfficientNetV2B0,phone,microscope,6,AdamW,GlobalMaxPooling2D,0.6392405063291139,0.6488575268817205,0.6420554753888088,0.6359594163062371,0.64998894106438,0.6392405063291139,0.6350844589668032
EfficientNetV2B0,phone,phone,6,AdamW,GlobalMaxPooling2D,0.7070707070707071,0.6865079365079365,0.6843940714908456,0.6853698630136986,0.7055475388808723,0.7070707070707071,0.7062360592223607
EfficientNetV2B0,phone,fresh,6,AdamW,GlobalMaxPooling2D,0.6785714285714286,0.6677393403057119,0.6526130873956961,0.6548995739500914,0.6733421445810825,0.6785714285714286,0.6710394748282758
EfficientNetV2B0,phone,dried,6,AdamW,GlobalMaxPooling2D,0.6404494382022472,0.6423154701718908,0.6436224489795919,0.6400404448938322,0.6479135660808216,0.6404494382022472,0.6412674248190773
EfficientNetV2B0,phone,comparison,6,AdamW,GlobalMaxPooling2D,0.6653696498054474,0.6649659863945578,0.6567186928423363,0.656630623912503,0.6651049524868312,0.6653696498054474,0.6611067103454745
EfficientNetV2B0,phone,all,8,AdamW,GlobalMaxPooling2D,0.6074270557029178,0.6065646682085037,0.6014623680198746,0.599511915015791,0.6067777286483002,0.6074270557029178,0.6026481028352186
EfficientNetV2B0,phone,microscope,8,AdamW,GlobalMaxPooling2D,0.6518987341772152,0.6600731382978724,0.6544011544011544,0.6495261141359145,0.6611630588472932,0.6518987341772152,0.6487960772001297
